Task 1- Release:  0.100, Completion:  0.209, Response: 0.109, WCRT: 0.109, Next Release:  0.400
Task 5- Release: 26.500, Completion: 27.686, Response: 1.186, WCRT: 2.293, Next Release: 27.700
Task 1- Release: 27.700, Completion: 27.802, Response: 0.102, WCRT: 0.755, Next Release: 28.000
Task 2- Release: 27.700, Completion: 27.895, Response: 0.195, WCRT: 1.031, Next Release: 28.100
Task 3- Release: 27.700, Completion: 27.989, Response: 0.289, WCRT: 1.389, Next Release: 28.300
Task 1- Release: 28.000, Completion: 28.099, Response: 0.099, WCRT: 0.755, Next Release: 28.300
Task 2- Release: 28.100, Completion: 28.213, Response: 0.113, WCRT: 1.031, Next Release: 28.500
Task 6- Release: 27.700, Completion: 28.279, Response: 0.579, WCRT: 1.727, Next Release: 28.900
Task 1- Release: 28.300, Completion: 28.396, Response: 0.096, WCRT: 0.755, Next Release: 28.600
Task 3- Release: 28.300, Completion: 28.489, Response: 0.189, WCRT: 1.389, Next Release: 28.900
Task 2- Release: 28.500, Completion: 28.602, Response: 0.102, WCRT: 1.031, Next Release: 28.900
Task 1- Release: 28.600, Completion: 28.696, Response: 0.096, WCRT: 0.755, Next Release: 28.900
Task 5- Release: 27.700, Completion: 28.742, Response: 1.042, WCRT: 2.293, Next Release: 28.900
Task 4- Release: 25.300, Completion: 28.811, Response: 3.511, WCRT: 3.511, Next Release: 26.500 ==> Task 4 violates Deadline!
Task 1- Release: 28.900, Completion: 29.014, Response: 0.114, WCRT: 0.755, Next Release: 29.200
Task 2- Release: 28.900, Completion: 29.106, Response: 0.206, WCRT: 1.031, Next Release: 29.300
Task 3- Release: 28.900, Completion: 29.200, Response: 0.300, WCRT: 1.389, Next Release: 29.500
Task 1- Release: 29.200, Completion: 29.300, Response: 0.100, WCRT: 0.755, Next Release: 29.500
